Profile Summary
Generated on: 2022-10-13 17:34:15
Msec since Epoch: 1665653655926
Profiled application: pass
Target platform: Xilinx
Tool version: 2022.1
XRT build version: 2.13.466
Build version branch: 2022.1
Build version hash: f5505e402c2ca1ffe45eb6d3a9399b23a0dc8776
Build version date: N/A
Target devices: xilinx_u50_gen3x16_xdma_base_5-0
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateBuffer,200,0.131748,0.000353,0.00065874,0.008663,
clCreateCommandQueue,1,0.004522,0.004522,0.004522,0.004522,
clCreateContext,1,3.52553,3.52553,3.52553,3.52553,
clCreateKernel,1,0.311725,0.311725,0.311725,0.311725,
clCreateProgramWithBinary,1,24.6503,24.6503,24.6503,24.6503,
clEnqueueMigrateMemObjects,200,0.34991,0.000794,0.00174955,0.098411,
clEnqueueTask,100,0.85375,0.00675,0.0085375,0.041371,
clFinish,1,17.391,17.391,17.391,17.391,
clGetDeviceIDs,1,0.001633,0.001633,0.001633,0.001633,
clGetDeviceInfo,1,2.6856,2.6856,2.6856,2.6856,
clGetExtensionFunctionAddress,2,0.011156,0.001638,0.005578,0.009518,
clGetExtensionFunctionAddressForPlatform,2,0.003507,0.000708,0.0017535,0.002799,
clGetPlatformInfo,6,0.00245,0.000273,0.000408333,0.000673,
clReleaseCommandQueue,1,0.002601,0.002601,0.002601,0.002601,
clReleaseContext,1,0.02336,0.02336,0.02336,0.02336,
clReleaseEvent,300,0.248089,0.000403,0.000826963,0.013797,
clReleaseKernel,1,1.33387,1.33387,1.33387,1.33387,
clReleaseMemObject,200,1.53563,0.000339,0.00767814,0.235182,
clReleaseProgram,1,0.001806,0.001806,0.001806,0.001806,
clSetKernelArg,800,4.41191,0.000244,0.00551489,0.049363,

Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
pass,100,23.2406,0.098463,0.232406,0.303059,

Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
94534346650224,pass,0,0,xilinx_u50_gen3x16_xdma_base_5-0,251.513,0.303059,1:1:1,1:1:1,
94534346650224,pass,0,0,xilinx_u50_gen3x16_xdma_base_5-0,254.943,0.292776,1:1:1,1:1:1,
94534346650224,pass,0,0,xilinx_u50_gen3x16_xdma_base_5-0,255.712,0.290425,1:1:1,1:1:1,
94534346650224,pass,0,0,xilinx_u50_gen3x16_xdma_base_5-0,264.963,0.283157,1:1:1,1:1:1,
94534346650224,pass,0,0,xilinx_u50_gen3x16_xdma_base_5-0,272.312,0.280134,1:1:1,1:1:1,
94534346650224,pass,0,0,xilinx_u50_gen3x16_xdma_base_5-0,260.74,0.280011,1:1:1,1:1:1,
94534346650224,pass,0,0,xilinx_u50_gen3x16_xdma_base_5-0,250.682,0.276429,1:1:1,1:1:1,
94534346650224,pass,0,0,xilinx_u50_gen3x16_xdma_base_5-0,271.053,0.276322,1:1:1,1:1:1,
94534346650224,pass,0,0,xilinx_u50_gen3x16_xdma_base_5-0,263.625,0.275952,1:1:1,1:1:1,
94534346650224,pass,0,0,xilinx_u50_gen3x16_xdma_base_5-0,262.91,0.275174,1:1:1,1:1:1,

Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
37748736,0,0,258.451,0.239226,1048.58,4383.2,
45088768,0,0,259.854,0.237047,1048.58,4423.49,
29360128,0,0,256.275,0.235024,1048.58,4461.57,
28311552,0,0,256.296,0.230579,1048.58,4547.58,
16777216,0,0,253.262,0.226684,1048.58,4625.72,
23068672,0,0,254.699,0.225678,1048.58,4646.34,
22020096,0,0,254.711,0.224568,1048.58,4669.3,
12582912,0,0,252.642,0.223952,1048.58,4682.15,
59768832,0,0,263.326,0.222845,1048.58,4705.41,
56623104,0,0,262.615,0.216937,1048.58,4833.55,

Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
297795584,0,0,256.713,0.334609,1048.58,3133.74,
291504128,0,0,255.141,0.333071,1048.58,3148.21,
293601280,0,0,255.907,0.331968,1048.58,3158.67,
287309824,0,0,254.331,0.328354,1048.58,3193.43,
272629760,0,0,250.864,0.317435,1048.58,3303.28,
268435456,0,0,250.151,0.315505,1048.58,3323.48,
284164096,0,0,253.646,0.306214,1048.58,3424.32,
332398592,0,0,264.356,0.305327,1048.58,3434.27,
367001600,0,0,271.791,0.303908,1048.58,3450.31,
370147328,0,0,272.495,0.303738,1048.58,3452.24,

Data Transfer: Host to Global Memory
Context:Number of Devices,Transfer Type,Number Of Buffer Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Buffer Size (KB),Total Time (ms),Average Time (ms),
context0:1,READ,100,4930.36,31.2962,1048.58,21.2677,0.212677,
context0:1,WRITE,100,6280.05,39.8636,1048.58,16.6969,0.166969,

Compute Unit Utilization
Device,Compute Unit,Kernel,Global Work Size,Local Work Size,Number Of Calls,Dataflow Execution,Max Overlapping Executions,Dataflow Acceleration,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),Clock Frequency (MHz),









Guidance Parameters
Parameter,Element,Value,
DEVICE_EXEC_TIME,xilinx_u50_gen3x16_xdma_base_5-0,23.1741,
NUM_MONITORS,xilinx_u50_gen3x16_xdma_base_5-0|XCL_PERF_MON_MEMORY|0,0,
NUM_MONITORS,xilinx_u50_gen3x16_xdma_base_5-0|XCL_PERF_MON_ACCEL|0,0,
NUM_MONITORS,xilinx_u50_gen3x16_xdma_base_5-0|XCL_PERF_MON_STR|0,0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[0],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[1],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[2],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[3],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[4],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[5],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[6],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[7],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[8],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[9],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[10],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[11],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[12],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[13],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[14],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[15],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[16],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[17],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[18],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[19],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[20],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[21],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[22],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[23],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[24],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[25],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[26],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[27],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[28],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[29],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[30],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[31],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|PLRAM[0],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|PLRAM[1],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|PLRAM[2],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|PLRAM[3],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HOST[0],0,
PLRAM_DEVICE,all,1,
HBM_DEVICE,all,1,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
KERNEL_COUNT,pass,1,
TRACE_MEMORY,all,FIFO,
PLRAM_SIZE_BYTES,xilinx_u50_gen3x16_xdma_base_5-0,0,
TRACE_BUFFER_FULL,xilinx_u50_gen3x16_xdma_base_5-0,false
MEMORY_TYPE_BIT_WIDTH,xilinx_u50_gen3x16_xdma_base_5-0|HBM,256,
MEMORY_TYPE_BIT_WIDTH,xilinx_u50_gen3x16_xdma_base_5-0|DDR,512,
MEMORY_TYPE_BIT_WIDTH,xilinx_u50_gen3x16_xdma_base_5-0|PLRAM,512,
APPLICATION_RUN_TIME_MS,all,586.788,
MIGRATE_MEM,host,200,
P2P_HOST_TRANSFERS,host,0,
OBJECTS_RELEASED,all,1,
CU_CONTEXT_EN,all,0,
MAX_PARALLEL_KERNEL_ENQUEUES,pass,3,
COMMAND_QUEUE_OOO,94534346756464,1,
KERNEL_BUFFER_INFO,pass|input_r|HBM[0]|1,1048576,
KERNEL_BUFFER_INFO,pass|output_r|HBM[1]|1,1048576,
BUFFER_RD_ACTIVE_TIME_MS,all,21.2677,
BUFFER_WR_ACTIVE_TIME_MS,all,16.6969,
BUFFER_TX_ACTIVE_TIME_MS,all,23.4193,
TOTAL_KERNEL_RUN_TIME_MS,all,0,
XRT_INI_SETTING,opencl_summary,0,Generation of OpenCL summary report (deprecated)
XRT_INI_SETTING,opencl_trace,1,Generation of trace of OpenCL APIs and memory transfers
XRT_INI_SETTING,opencl_device_counter,0,Hardware counters added to OpenCL summary file (deprecated)
XRT_INI_SETTING,device_counters,0,Hardware counters added to summary file
