Profile Summary
Generated on: 2022-10-13 14:47:10
Msec since Epoch: 1665643630730
Profiled application: pass
Target platform: Xilinx
Tool version: 2022.1
XRT build version: 2.13.466
Build version branch: 2022.1
Build version hash: f5505e402c2ca1ffe45eb6d3a9399b23a0dc8776
Build version date: N/A
Target devices: xilinx_u50_gen3x16_xdma_base_5-0
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateBuffer,20,0.017268,0.000366,0.0008634,0.006044,
clCreateCommandQueue,1,0.004496,0.004496,0.004496,0.004496,
clCreateContext,1,3.53981,3.53981,3.53981,3.53981,
clCreateKernel,1,0.303832,0.303832,0.303832,0.303832,
clCreateProgramWithBinary,1,3004.29,3004.29,3004.29,3004.29,
clEnqueueMigrateMemObjects,20,0.104757,0.000887,0.00523785,0.07825,
clEnqueueTask,10,0.126241,0.008182,0.0126241,0.023607,
clFinish,1,1.83199,1.83199,1.83199,1.83199,
clGetDeviceIDs,1,0.002572,0.002572,0.002572,0.002572,
clGetDeviceInfo,1,2.66836,2.66836,2.66836,2.66836,
clGetExtensionFunctionAddress,2,0.009424,0.001721,0.004712,0.007703,
clGetExtensionFunctionAddressForPlatform,2,0.002242,0.000759,0.001121,0.001483,
clGetPlatformInfo,6,0.002353,0.000257,0.000392167,0.000625,
clReleaseCommandQueue,1,0.001863,0.001863,0.001863,0.001863,
clReleaseContext,1,0.017705,0.017705,0.017705,0.017705,
clReleaseEvent,30,0.024724,0.000352,0.000824133,0.003969,
clReleaseKernel,1,1.08739,1.08739,1.08739,1.08739,
clReleaseMemObject,20,0.104527,0.000364,0.00522635,0.011548,
clReleaseProgram,1,0.00091,0.00091,0.00091,0.00091,
clSetKernelArg,80,0.56575,0.000248,0.00707188,0.065575,

Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
pass,10,6.02107,0.339512,0.602107,0.775633,

Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
94002041588736,pass,0,0,xilinx_u50_gen3x16_xdma_base_5-0,3209.55,0.775633,1:1:1,1:1:1,
94002041588736,pass,0,0,xilinx_u50_gen3x16_xdma_base_5-0,3209.79,0.713315,1:1:1,1:1:1,
94002041588736,pass,0,0,xilinx_u50_gen3x16_xdma_base_5-0,3210.03,0.667553,1:1:1,1:1:1,
94002041588736,pass,0,0,xilinx_u50_gen3x16_xdma_base_5-0,3209.75,0.661129,1:1:1,1:1:1,
94002041588736,pass,0,0,xilinx_u50_gen3x16_xdma_base_5-0,3210.28,0.62983,1:1:1,1:1:1,
94002041588736,pass,0,0,xilinx_u50_gen3x16_xdma_base_5-0,3209.99,0.597432,1:1:1,1:1:1,
94002041588736,pass,0,0,xilinx_u50_gen3x16_xdma_base_5-0,3209.5,0.56628,1:1:1,1:1:1,
94002041588736,pass,0,0,xilinx_u50_gen3x16_xdma_base_5-0,3210.25,0.551923,1:1:1,1:1:1,
94002041588736,pass,0,0,xilinx_u50_gen3x16_xdma_base_5-0,3209.29,0.518466,1:1:1,1:1:1,
94002041588736,pass,0,0,xilinx_u50_gen3x16_xdma_base_5-0,3209.22,0.339512,1:1:1,1:1:1,

Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
2097152,0,0,3209.24,0.255262,1048.58,4107.84,
8388608,0,0,3210.01,0.242768,1048.58,4319.25,
9437184,0,0,3210.04,0.239075,1048.58,4385.97,
3145728,0,0,3209.3,0.238669,1048.58,4393.43,
5242880,0,0,3209.55,0.234686,1048.58,4468,
4194304,0,0,3209.51,0.233677,1048.58,4487.29,
6291456,0,0,3209.76,0.232717,1048.58,4505.8,
7340032,0,0,3209.8,0.22538,1048.58,4652.48,
0,0,0,3209.07,0.138984,1048.58,7544.58,
1048576,0,0,3209.16,0.123965,1048.58,8458.65,

Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
271581184,0,0,3210.38,0.601087,1048.58,1744.47,
272629760,0,0,3210.48,0.499251,1048.58,2100.3,
273678336,0,0,3210.98,0.275184,1048.58,3810.45,
274726912,0,0,3210.98,0.239276,1048.58,4382.29,
276824064,0,0,3211.26,0.23516,1048.58,4458.99,
269484032,0,0,3209.88,0.21842,1048.58,4800.73,
275775488,0,0,3211.22,0.195845,1048.58,5354.11,
270532608,0,0,3210.1,0.194018,1048.58,5404.53,
268435456,0,0,3209.62,0.155892,1048.58,6726.3,
277872640,0,0,3211.43,0.144513,1048.58,7255.93,

Data Transfer: Host to Global Memory
Context:Number of Devices,Transfer Type,Number Of Buffer Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Buffer Size (KB),Total Time (ms),Average Time (ms),
context0:1,READ,10,3801.05,24.1278,1048.58,2.75865,0.275865,
context0:1,WRITE,10,4842.9,30.741,1048.58,2.16518,0.216518,

Compute Unit Utilization
Device,Compute Unit,Kernel,Global Work Size,Local Work Size,Number Of Calls,Dataflow Execution,Max Overlapping Executions,Dataflow Acceleration,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),Clock Frequency (MHz),









Guidance Parameters
Parameter,Element,Value,
DEVICE_EXEC_TIME,xilinx_u50_gen3x16_xdma_base_5-0,1.69219,
NUM_MONITORS,xilinx_u50_gen3x16_xdma_base_5-0|XCL_PERF_MON_MEMORY|0,0,
NUM_MONITORS,xilinx_u50_gen3x16_xdma_base_5-0|XCL_PERF_MON_ACCEL|0,0,
NUM_MONITORS,xilinx_u50_gen3x16_xdma_base_5-0|XCL_PERF_MON_STR|0,0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[0],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[1],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[2],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[3],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[4],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[5],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[6],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[7],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[8],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[9],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[10],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[11],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[12],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[13],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[14],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[15],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[16],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[17],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[18],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[19],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[20],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[21],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[22],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[23],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[24],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[25],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[26],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[27],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[28],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[29],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[30],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[31],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|PLRAM[0],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|PLRAM[1],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|PLRAM[2],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|PLRAM[3],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HOST[0],0,
PLRAM_DEVICE,all,1,
HBM_DEVICE,all,1,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
KERNEL_COUNT,pass,1,
TRACE_MEMORY,all,FIFO,
PLRAM_SIZE_BYTES,xilinx_u50_gen3x16_xdma_base_5-0,0,
TRACE_BUFFER_FULL,xilinx_u50_gen3x16_xdma_base_5-0,false
MEMORY_TYPE_BIT_WIDTH,xilinx_u50_gen3x16_xdma_base_5-0|HBM,256,
MEMORY_TYPE_BIT_WIDTH,xilinx_u50_gen3x16_xdma_base_5-0|DDR,512,
MEMORY_TYPE_BIT_WIDTH,xilinx_u50_gen3x16_xdma_base_5-0|PLRAM,512,
APPLICATION_RUN_TIME_MS,all,3510.65,
MIGRATE_MEM,host,20,
P2P_HOST_TRANSFERS,host,0,
OBJECTS_RELEASED,all,1,
CU_CONTEXT_EN,all,0,
MAX_PARALLEL_KERNEL_ENQUEUES,pass,7,
COMMAND_QUEUE_OOO,94002041541936,1,
KERNEL_BUFFER_INFO,pass|input_r|HBM[0]|1,1048576,
KERNEL_BUFFER_INFO,pass|output_r|HBM[1]|1,1048576,
BUFFER_RD_ACTIVE_TIME_MS,all,2.75865,
BUFFER_WR_ACTIVE_TIME_MS,all,2.16518,
BUFFER_TX_ACTIVE_TIME_MS,all,2.49812,
TOTAL_KERNEL_RUN_TIME_MS,all,0,
XRT_INI_SETTING,opencl_summary,0,Generation of OpenCL summary report (deprecated)
XRT_INI_SETTING,opencl_trace,1,Generation of trace of OpenCL APIs and memory transfers
XRT_INI_SETTING,opencl_device_counter,0,Hardware counters added to OpenCL summary file (deprecated)
XRT_INI_SETTING,device_counters,0,Hardware counters added to summary file
XRT_INI_SETTING,host_trace,0,Enable the top level of host trace
XRT_INI_SETTING,native_xrt_trace,0,Generation of Native XRT API function trace
XRT_INI_SETTING,xrt_trace,0,Generation of hardware SHIM function trace
XRT_INI_SETTING,data_transfer_trace,off,Collection of data from PL monitors and added to summary and trace (deprecated)
XRT_INI_SETTING,device_trace,coarse,Collection of data from PL monitors and added to summary and trace
XRT_INI_SETTING,power_profile,0,Polling of power data during execution of application
XRT_INI_SETTING,power_profile_interval_ms,20,Interval for reading power data (in ms)
XRT_INI_SETTING,stall_trace,all,Enables hardware generation of stalls in compute units
XRT_INI_SETTING,trace_buffer_size,1M,Size of buffer to allocate for trace (memory offload only)
XRT_INI_SETTING,verbosity,4,Verbosity level
XRT_INI_SETTING,continuous_trace,0,Continuous offloading of trace from memory to host
XRT_INI_SETTING,trace_buffer_offload_interval_ms,10,Interval for reading of device data to host (in ms)
XRT_INI_SETTING,trace_file_dump_interval_s,5,Interval for dumping files to host (in s)
XRT_INI_SETTING,lop_trace,0,Generation of lower overhead OpenCL trace. Should not be used with other OpenCL options.
XRT_INI_SETTING,debug_mode,batch,Debug mode (emulation only)
XRT_INI_SETTING,aie_trace,0,Generation of AI Engine trace
XRT_INI_SETTING,aie_trace_buffer_size,8M,Size of buffer to allocate for AI Engine trace
XRT_INI_SETTING,aie_trace_metrics,functions,Configuration level used for AI Engine trace
XRT_INI_SETTING,aie_trace_periodic_offload,1,Periodic offloading of aie trace from memory to host
XRT_INI_SETTING,aie_trace_buffer_offload_interval_ms,10,Interval for reading of device aie trace data to host (in ms)
XRT_INI_SETTING,aie_trace_file_dump_interval_s,5,Interval for dumping aie trace files to host (in s)
XRT_INI_SETTING,aie_profile,0,Generation of AI Engine profiling
XRT_INI_SETTING,aie_profile_interval_us,1000,Interval for reading AI Engine profile counters (in us)
XRT_INI_SETTING,aie_profile_core_metrics,,Metric set for AI Engine core modules
XRT_INI_SETTING,aie_profile_memory_metrics,,Metric set for AI Engine memory modules
XRT_INI_SETTING,aie_profile_interface_metrics,,Metric set for AI Engine interface modules
XRT_INI_SETTING,aie_status,0,Generation of AI Engine debug/status
XRT_INI_SETTING,aie_status_interval_us,1000,Interval for reading AI Engine debug/status registers (in us)
XRT_INI_SETTING,vitis_ai_profile,0,Generation of Vitis AI summary and trace (Vitis AI designs only)
