Profile Summary
Generated on: 2022-10-13 17:16:31
Msec since Epoch: 1665652591574
Profiled application: pass
Target platform: Xilinx
Tool version: 2022.1
XRT build version: 2.13.466
Build version branch: 2022.1
Build version hash: f5505e402c2ca1ffe45eb6d3a9399b23a0dc8776
Build version date: N/A
Target devices: xilinx_u50_gen3x16_xdma_base_5-0
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateBuffer,20,0.017876,0.000355,0.0008938,0.00518,
clCreateCommandQueue,1,0.003938,0.003938,0.003938,0.003938,
clCreateContext,1,3.54723,3.54723,3.54723,3.54723,
clCreateKernel,1,0.324609,0.324609,0.324609,0.324609,
clCreateProgramWithBinary,1,24.3884,24.3884,24.3884,24.3884,
clEnqueueMigrateMemObjects,20,0.125395,0.000904,0.00626975,0.08549,
clEnqueueTask,10,0.122716,0.007188,0.0122716,0.031546,
clFinish,1,0.472469,0.472469,0.472469,0.472469,
clGetDeviceIDs,1,0.001077,0.001077,0.001077,0.001077,
clGetDeviceInfo,1,2.7169,2.7169,2.7169,2.7169,
clGetExtensionFunctionAddress,2,0.011513,0.001659,0.0057565,0.009854,
clGetExtensionFunctionAddressForPlatform,2,0.003627,0.000688,0.0018135,0.002939,
clGetPlatformInfo,6,0.002503,0.000272,0.000417167,0.000685,
clReleaseCommandQueue,1,0.001619,0.001619,0.001619,0.001619,
clReleaseContext,1,0.015577,0.015577,0.015577,0.015577,
clReleaseEvent,30,0.024598,0.000377,0.000819933,0.003249,
clReleaseKernel,1,1.04897,1.04897,1.04897,1.04897,
clReleaseMemObject,20,0.10093,0.00042,0.0050465,0.010784,
clReleaseProgram,1,0.00099,0.00099,0.00099,0.00099,
clSetKernelArg,80,0.536968,0.000239,0.0067121,0.049972,
clWaitForEvents,7,1.80951,0.00043,0.258501,0.618967,

Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
pass,10,2.108,0.132071,0.2108,0.30499,

Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
93879710597744,pass,0,0,xilinx_u50_gen3x16_xdma_base_5-0,177.609,0.30499,1:1:1,1:1:1,
93879710597744,pass,0,0,xilinx_u50_gen3x16_xdma_base_5-0,178.545,0.228897,1:1:1,1:1:1,
93879710597744,pass,0,0,xilinx_u50_gen3x16_xdma_base_5-0,176.884,0.224151,1:1:1,1:1:1,
93879710597744,pass,0,0,xilinx_u50_gen3x16_xdma_base_5-0,176.692,0.21985,1:1:1,1:1:1,
93879710597744,pass,0,0,xilinx_u50_gen3x16_xdma_base_5-0,177.541,0.212485,1:1:1,1:1:1,
93879710597744,pass,0,0,xilinx_u50_gen3x16_xdma_base_5-0,178.356,0.212317,1:1:1,1:1:1,
93879710597744,pass,0,0,xilinx_u50_gen3x16_xdma_base_5-0,178.465,0.201054,1:1:1,1:1:1,
93879710597744,pass,0,0,xilinx_u50_gen3x16_xdma_base_5-0,176.803,0.196396,1:1:1,1:1:1,
93879710597744,pass,0,0,xilinx_u50_gen3x16_xdma_base_5-0,177.78,0.175791,1:1:1,1:1:1,
93879710597744,pass,0,0,xilinx_u50_gen3x16_xdma_base_5-0,179.19,0.132071,1:1:1,1:1:1,

Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
5242880,0,0,177.55,0.223506,1048.58,4691.49,
7340032,0,0,178.254,0.205525,1048.58,5101.94,
9437184,0,0,179.006,0.178765,1048.58,5865.67,
3145728,0,0,177.358,0.177422,1048.58,5910.07,
8388608,0,0,178.363,0.176511,1048.58,5940.57,
0,0,0,176.513,0.170962,1048.58,6133.39,
2097152,0,0,176.709,0.16963,1048.58,6181.55,
6291456,0,0,178.185,0.165255,1048.58,6345.2,
1048576,0,0,176.635,0.157496,1048.58,6657.79,
4194304,0,0,177.441,0.152653,1048.58,6869.02,

Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
274726912,0,0,178.574,0.335589,1048.58,3124.58,
268435456,0,0,176.925,0.324462,1048.58,3231.74,
271581184,0,0,177.76,0.317943,1048.58,3298,
275775488,0,0,178.671,0.248746,1048.58,4215.45,
269484032,0,0,177.009,0.247617,1048.58,4234.67,
272629760,0,0,177.919,0.175748,1048.58,5966.36,
273678336,0,0,178.084,0.158249,1048.58,6626.11,
276824064,0,0,178.912,0.148969,1048.58,7038.89,
270532608,0,0,177.256,0.146116,1048.58,7176.33,
277872640,0,0,179.327,0.134791,1048.58,7779.27,

Data Transfer: Host to Global Memory
Context:Number of Devices,Transfer Type,Number Of Buffer Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Buffer Size (KB),Total Time (ms),Average Time (ms),
context0:1,READ,10,4684.84,29.7378,1048.58,2.23823,0.223823,
context0:1,WRITE,10,5898.42,37.4411,1048.58,1.77772,0.177772,

Compute Unit Utilization
Device,Compute Unit,Kernel,Global Work Size,Local Work Size,Number Of Calls,Dataflow Execution,Max Overlapping Executions,Dataflow Acceleration,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),Clock Frequency (MHz),









Guidance Parameters
Parameter,Element,Value,
DEVICE_EXEC_TIME,xilinx_u50_gen3x16_xdma_base_5-0,2.63001,
NUM_MONITORS,xilinx_u50_gen3x16_xdma_base_5-0|XCL_PERF_MON_MEMORY|0,0,
NUM_MONITORS,xilinx_u50_gen3x16_xdma_base_5-0|XCL_PERF_MON_ACCEL|0,0,
NUM_MONITORS,xilinx_u50_gen3x16_xdma_base_5-0|XCL_PERF_MON_STR|0,0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[0],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[1],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[2],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[3],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[4],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[5],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[6],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[7],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[8],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[9],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[10],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[11],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[12],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[13],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[14],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[15],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[16],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[17],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[18],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[19],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[20],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[21],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[22],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[23],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[24],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[25],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[26],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[27],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[28],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[29],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[30],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[31],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|PLRAM[0],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|PLRAM[1],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|PLRAM[2],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|PLRAM[3],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HOST[0],0,
PLRAM_DEVICE,all,1,
HBM_DEVICE,all,1,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
KERNEL_COUNT,pass,1,
TRACE_MEMORY,all,FIFO,
PLRAM_SIZE_BYTES,xilinx_u50_gen3x16_xdma_base_5-0,0,
TRACE_BUFFER_FULL,xilinx_u50_gen3x16_xdma_base_5-0,false
MEMORY_TYPE_BIT_WIDTH,xilinx_u50_gen3x16_xdma_base_5-0|HBM,256,
MEMORY_TYPE_BIT_WIDTH,xilinx_u50_gen3x16_xdma_base_5-0|DDR,512,
MEMORY_TYPE_BIT_WIDTH,xilinx_u50_gen3x16_xdma_base_5-0|PLRAM,512,
APPLICATION_RUN_TIME_MS,all,250.347,
MIGRATE_MEM,host,20,
P2P_HOST_TRANSFERS,host,0,
OBJECTS_RELEASED,all,1,
CU_CONTEXT_EN,all,0,
MAX_PARALLEL_KERNEL_ENQUEUES,pass,3,
COMMAND_QUEUE_OOO,93879710703984,1,
KERNEL_BUFFER_INFO,pass|input_r|HBM[0]|1,1048576,
KERNEL_BUFFER_INFO,pass|output_r|HBM[1]|1,1048576,
BUFFER_RD_ACTIVE_TIME_MS,all,2.23823,
BUFFER_WR_ACTIVE_TIME_MS,all,1.77772,
BUFFER_TX_ACTIVE_TIME_MS,all,2.94927,
TOTAL_KERNEL_RUN_TIME_MS,all,0,
XRT_INI_SETTING,opencl_summary,0,Generation of OpenCL summary report (deprecated)
XRT_INI_SETTING,opencl_trace,1,Generation of trace of OpenCL APIs and memory transfers
XRT_INI_SETTING,opencl_device_counter,0,Hardware counters added to OpenCL summary file (deprecated)
XRT_INI_SETTING,device_counters,0,Hardware counters added to summary file
XRT_INI_SETTING,host_trace,0,Enable the top level of host trace
