Profile Summary
Generated on: 2022-10-21 09:41:01
Msec since Epoch: 1666316461471
Profiled application: host
Target platform: Xilinx
Tool version: 2022.1
XRT build version: 2.13.466
Build version branch: 2022.1
Build version hash: f5505e402c2ca1ffe45eb6d3a9399b23a0dc8776
Build version date: N/A
Target devices: xilinx_u50_gen3x16_xdma_base_5-0
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateBuffer,3,0.005209,0.000536,0.00173633,0.003905,
clCreateCommandQueue,1,0.004152,0.004152,0.004152,0.004152,
clCreateContext,1,3.65846,3.65846,3.65846,3.65846,
clCreateKernel,1,0.259854,0.259854,0.259854,0.259854,
clCreateProgramWithBinary,1,6182.05,6182.05,6182.05,6182.05,
clEnqueueMigrateMemObjects,2,0.10206,0.001636,0.05103,0.100424,
clEnqueueTask,1,0.035549,0.035549,0.035549,0.035549,
clGetDeviceIDs,2,0.001528,0.000529,0.000764,0.000999,
clGetEventProfilingInfo,2,0.005209,0.000881,0.0026045,0.004328,
clGetPlatformIDs,2,0.006571,0.00061,0.0032855,0.005961,
clGetPlatformInfo,2,0.001303,0.000511,0.0006515,0.000792,
clReleaseCommandQueue,1,0.002669,0.002669,0.002669,0.002669,
clReleaseContext,1,0.026452,0.026452,0.026452,0.026452,
clReleaseDevice,2,0.001555,0.000617,0.0007775,0.000938,
clReleaseEvent,6,0.015821,0.00028,0.00263683,0.012653,
clReleaseKernel,1,8.18104,8.18104,8.18104,8.18104,
clReleaseMemObject,9,0.005241,0.000358,0.000582333,0.001037,
clReleaseProgram,1,0.770702,0.770702,0.770702,0.770702,
clRetainDevice,2,0.000888,0.000401,0.000444,0.000487,
clRetainEvent,3,0.001656,0.000427,0.000552,0.000707,
clRetainMemObject,6,0.003825,0.0003,0.0006375,0.001706,
clSetKernelArg,5,49.1856,0.000495,9.83712,37.5635,
clWaitForEvents,1,434.702,434.702,434.702,434.702,

Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
runOnfpga,1,291.61,291.61,291.61,291.61,

Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
94912883673872,runOnfpga,0,0,xilinx_u50_gen3x16_xdma_base_5-0,6536.02,291.61,1:1:1,1:1:1,

Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
8053063680,0,0,6421.33,114.68,1.39897e+06,12198.9,

Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
6442450944,0,0,6827.69,28.3365,349726,12341.9,

Data Transfer: Host to Global Memory
Context:Number of Devices,Transfer Type,Number Of Buffer Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Buffer Size (KB),Total Time (ms),Average Time (ms),
context0:1,READ,1,12341.9,78.342,349726,28.3365,28.3365,
context0:1,WRITE,1,12198.9,77.4347,1.39897e+06,114.68,114.68,

Compute Unit Utilization
Device,Compute Unit,Kernel,Global Work Size,Local Work Size,Number Of Calls,Dataflow Execution,Max Overlapping Executions,Dataflow Acceleration,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),Clock Frequency (MHz),
xilinx_u50_gen3x16_xdma_base_5-0,runOnfpga_1,runOnfpga,1:1:1,1:1:1,1,Yes,1,1.000000x,291.495,291.495,291.495,291.495,300,





Data Transfer: Kernels to Global Memory
Device,Compute Unit/Port Name,Kernel Arguments,Memory Resources,Transfer Type,Number Of Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Size (KB),Average Latency (ns),
xilinx_u50_gen3x16_xdma_base_5-0,runOnfpga_1/m_axi_maxiport0,output_flags|input_words,HBM[0:14],WRITE,341530,5389.48,27.9973,1.023,57,
xilinx_u50_gen3x16_xdma_base_5-0,runOnfpga_1/m_axi_maxiport0,output_flags|input_words,HBM[0:14],READ,1366117,4800.05,24.9353,1.023,80.5594,
xilinx_u50_gen3x16_xdma_base_5-0,runOnfpga_1/m_axi_maxiport1,bloom_filter,HBM[30],READ,64,4715.95,24.4984,1.024,143.938,

Top Data Transfer: Kernels to Global Memory
Device,Compute Unit,Number of Transfers,Average Bytes per Transfer,Transfer Efficiency (%),Total Data Transfer (MB),Total Write (MB),Total Read (MB),Total Transfer Rate (MB/s),
xilinx_u50_gen3x16_xdma_base_5-0,runOnfpga_1,1707647,1024,25,1748.63,349.726,1398.9,4907.39,


Compute Units: Stall Information
Compute Unit,Execution Count,Running Time (ms),Intra-Kernel Dataflow Stalls (ms),External Memory Stalls (ms),Inter-Kernel Pipe Stalls (ms),
runOnfpga_1,1,291.495,0,0,0

Guidance Parameters
Parameter,Element,Value,
DEVICE_EXEC_TIME,xilinx_u50_gen3x16_xdma_base_5-0,291.61,
CU_CALLS,xilinx_u50_gen3x16_xdma_base_5-0|runOnfpga_1,1,
NUM_MONITORS,xilinx_u50_gen3x16_xdma_base_5-0|XCL_PERF_MON_MEMORY|2,2,
NUM_MONITORS,xilinx_u50_gen3x16_xdma_base_5-0|XCL_PERF_MON_ACCEL|1,1,
NUM_MONITORS,xilinx_u50_gen3x16_xdma_base_5-0|XCL_PERF_MON_STR|0,0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[0],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[1],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[2],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[3],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[4],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[5],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[6],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[7],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[8],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[9],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[10],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[11],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[12],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[13],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[14],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[15],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[16],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[17],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[18],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[19],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[20],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[21],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[22],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[23],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[24],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[25],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[26],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[27],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[28],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[29],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[30],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HBM[31],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|PLRAM[0],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|PLRAM[1],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|PLRAM[2],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|PLRAM[3],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_base_5-0|HOST[0],0,
PLRAM_DEVICE,all,1,
HBM_DEVICE,all,1,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
PORT_BIT_WIDTH,runOnfpga_1/m_axi_maxiport0,512,
PORT_BIT_WIDTH,runOnfpga_1/m_axi_maxiport1,512,
KERNEL_COUNT,runOnfpga,1,
TRACE_MEMORY,all,TS2MM,
PLRAM_SIZE_BYTES,xilinx_u50_gen3x16_xdma_base_5-0,0,
TRACE_BUFFER_FULL,xilinx_u50_gen3x16_xdma_base_5-0,false
MEMORY_TYPE_BIT_WIDTH,xilinx_u50_gen3x16_xdma_base_5-0|HBM,256,
MEMORY_TYPE_BIT_WIDTH,xilinx_u50_gen3x16_xdma_base_5-0|DDR,512,
MEMORY_TYPE_BIT_WIDTH,xilinx_u50_gen3x16_xdma_base_5-0|PLRAM,512,
APPLICATION_RUN_TIME_MS,all,9003.49,
MIGRATE_MEM,host,2,
P2P_HOST_TRANSFERS,host,0,
OBJECTS_RELEASED,all,1,
CU_CONTEXT_EN,all,0,
MAX_PARALLEL_KERNEL_ENQUEUES,runOnfpga,1,
COMMAND_QUEUE_OOO,94912883012912,1,
