COL0,COL1
N,blithely regular ideas caj
N,slyly bold pinto beans detect s
N,deposits wake furiously dogged
N,even ideas haggle. even
N,carefully final gr
N,furiously regular accounts haggle bl
N,carefully ironic platelets against t
R,blithely s
R,final
A,carefully silent pinto beans boost fur
A,fluffily unusual deposits hag
R,blithely pending platelets according
A,ideas until the unusual packages c
N,special dependencies am
R,unusual
R,blithely even accoun
A,express platelets integr
A,ruthlessly unusual warhorses sleep slyly af
N,pending requests sleep furiously above
N,carefully spe
N,carefully exp
N,final deposits are quickly. furiously even
N,blithely expres
N,blithely silent accoun
N,furiously pending theodolit
N,ironic requests dazzle. final d
N,regular accounts cajole
N,furiously bold deposits 
N,slyly bold requests nag. fluffily
N,slyly ironic notornis bo
N,requests integrat
A,slyly even requests are f
A,special theodolites boost 
A,bold requests affix alongside of the slyly 
R,furiously regular deposits are carefully id
N,regular deposits grow. regu
N,carefully idle ins
N,furiously final ideas thrash carefully bo
N,dolphins along the slyly ir
N,fluffily final deposits are bl
N,quickly even depo
N,slyly special excuses wake carefully ironic
N,quickly regular instructions try t
N,slyly final foxes haggle blithely de
N,accounts sleep furiously bli
A,slyly final accounts caj
A,regular
A,fluffily f
N,carefully final packages
N,theodolites are bold foxes. fi
N,carefully even instructions sleep car
N,ideas cajole 
N,final theodolites
N,ideas haggle 
N,enticingly even
R,furiously regular
A,silent
N,regular
N,ironically regular theodolites ha
R,closely bo
A,furiously final waters are sl
N,carefully final theodolites inte
N,carefully bold pa
N,bold excuses wake quickly ac
N,pending ideas after the deposits cajole f
N,unusual depos
N,furiously regular ideas abov
N,ironic
N,special reque
N,blithely ironic packages sleep f
N,fluffily specia
N,quickly fi
N,final
N,final
A,dependencies serve
A,express attainment
A,carefully regular requests sleep a
R,regular dependencies are car
R,ideas are carefully pending asymptotes. 
A,sly theodolites along th
R,even pinto beans are alongside o
A,excuses haggl
R,even packages haggle carefull
A,regular
R,fluffily even deposits nag fluffil
A,slyly special ideas after the r
N,unusual platelets are
N,slyly regu
N,accounts lose about the iro
N,pending accounts sleep furiously pinto 
N,bravely regular packag
N,quickly express ideas detect blithely acros
A,furiously express f
R,regular ide
R,slyly final packages affix f
A,blithely bold deposits are at th
R,permanent hockey players
A,final
A,carefully pen
A,regular deposits wake
A,regular braids s
A,unusual
R,blithely unusual t
A,blithely regular deposits
A,quickly regular packages cajole furious
N,stealthily ironic packages according to th
N,regular depo
N,furiously regular accounts hagg
N,carefully even pinto beans after the dog
N,slyly special packages nag against t
N,carefully even 
N,final deposit
N,final packages gr
N,fluffily regular ideas ar
N,quickly express packa
N,instructions sleep. carefully even de
N,carefully qu
N,carefully bold packages are slyly even
N,furiously even ideas cajole 
N,dolphins b
N,platelets sleep quick
A,carefully bold ac
R,even accounts after the
A,blithely regular dolphins int
A,deposits serve slyly quickly ironi
R,carefully regular foxes are furiou
A,furiously unusual theodolites acr
R,final realms affi
R,busily express i
A,carefully bold theodolites 
R,express
A,blithely unusua
R,carefully busy asymp
R,fluffily even pla
R,express asymptotes eat
A,ironic asymptotes eat ruthlessl
A,slyly final excuses haggle furiou
R,bold
R,ironic
A,furiously ironic requests
A,blithely pending pac
N,furiously final ideas s
N,finally brave dependencies could have to d
N,ironic
N,carefully regular 
A,quickly final packages
A,slowly bold ideas haggle cl
A,pending accounts could have
A,final
A,silent Tiresias cajole. furiously bo
A,even
N,final deposits wa
N,furiously express escapades against t
N,furiously fina
N,bold
N,bold dugouts above the ironic dependenc
N,quickly regular pack
N,foxes are blithely carefully even accounts.
N,slyly fina
N,slyly unusual de
A,carefully quiet warthogs cajole 
N,carefully ironic requests wake fluffily
N,final accounts cajole. carefully sil
N,furiously express ideas affix. requests 
N,carefully special requests are after the
N,carefully 
N,quickly final the
N,furiously bold requests a
A,ironic foxes bey
R,ironic platelets detec
R,furiously ironic pinto 
R,unusual reque
R,express
R,furiously ironic packages detect above
A,even accounts cajole quickly
