COL0,COL1,COL2,COL3,COL4,COL5
155190,1,21168.23,0.04,N,blithely regular ideas caj
67310,2,45983.16,0.09,N,slyly bold pinto beans detect s
63700,3,13309.60,0.10,N,deposits wake furiously dogged
2132,4,28955.64,0.09,N,even ideas haggle. even
24027,5,22824.48,0.10,N,carefully final gr
15635,6,49620.16,0.07,N,furiously regular accounts haggle bl
106170,1,44694.46,0.00,N,carefully ironic platelets against t
4297,1,54058.05,0.06,R,blithely s
19036,2,46796.47,0.10,R,final
128449,3,39890.88,0.06,A,carefully silent pinto beans boost fur
29380,4,2618.76,0.01,A,fluffily unusual deposits hag
183095,5,32986.52,0.04,R,blithely pending platelets according
62143,6,28733.64,0.10,A,ideas until the unusual packages c
88035,1,30690.90,0.03,N,special dependencies am
108570,1,23678.55,0.02,R,unusual
123927,2,50723.92,0.07,R,blithely even accoun
37531,3,73426.50,0.08,A,express platelets integr
139636,1,61998.31,0.08,A,ruthlessly unusual warhorses sleep slyly af
182052,1,13608.60,0.07,N,pending requests sleep furiously above
145243,2,11594.16,0.08,N,carefully spe
94780,3,81639.88,0.10,N,carefully exp
163073,4,31809.96,0.03,N,final deposits are quickly. furiously even
151894,5,73943.82,0.08,N,blithely expres
79251,6,43058.75,0.06,N,blithely silent accoun
157238,7,6476.15,0.04,N,furiously pending theodolit
82704,1,47227.60,0.05,N,ironic requests dazzle. final d
197921,2,64605.44,0.02,N,regular accounts cajole
44161,3,2210.32,0.09,N,furiously bold deposits 
2743,4,6582.96,0.09,N,slyly bold requests nag. fluffily
85811,5,79059.64,0.05,N,slyly ironic notornis bo
11615,6,9159.66,0.04,N,requests integrat
61336,1,40217.23,0.09,A,slyly even requests are f
60519,2,47344.32,0.02,A,special theodolites boost 
137469,3,7532.30,0.05,A,bold requests affix alongside of the slyly 
33918,4,75928.31,0.09,R,furiously regular deposits are carefully id
88362,1,17554.68,0.00,N,regular deposits grow. regu
89414,2,30875.02,0.08,N,carefully idle ins
169544,3,9681.24,0.02,N,furiously final ideas thrash carefully bo
450,1,32410.80,0.02,N,dolphins along the slyly ir
161940,2,68065.96,0.06,N,fluffily final deposits are bl
120896,3,13418.23,0.06,N,quickly even depo
85175,4,29004.25,0.06,N,slyly special excuses wake carefully ironic
119917,5,65854.94,0.08,N,quickly regular instructions try t
30762,6,47397.28,0.03,N,slyly final foxes haggle blithely de
119767,1,75043.92,0.09,N,accounts sleep furiously bli
22630,1,62105.20,0.09,A,slyly final accounts caj
126782,2,70542.42,0.05,A,regular
12903,3,78083.70,0.05,A,fluffily f
175839,1,84252.52,0.04,N,carefully final packages
2320,1,53782.08,0.09,N,theodolites are bold foxes. fi
186582,2,43383.08,0.08,N,carefully even instructions sleep car
67831,3,82746.18,0.06,N,ideas cajole 
20590,4,48338.88,0.07,N,final theodolites
54519,5,63360.93,0.01,N,ideas haggle 
94368,6,54494.40,0.06,N,enticingly even
85951,1,40675.95,0.05,R,furiously regular
59694,1,42995.94,0.03,A,silent
73815,2,39353.82,0.00,N,regular
1388,3,27076.98,0.09,N,ironically regular theodolites ha
115118,1,35126.41,0.00,R,closely bo
173489,2,64061.68,0.04,A,furiously final waters are sl
21636,1,6230.52,0.09,N,carefully final theodolites inte
20193,2,13358.28,0.09,N,carefully bold pa
173600,3,8368.00,0.03,N,bold excuses wake quickly ac
87514,4,66066.44,0.08,N,pending ideas after the deposits cajole f
40613,5,35733.03,0.05,N,unusual depos
178306,6,40144.70,0.02,N,furiously regular ideas abov
7068,1,2925.18,0.05,N,ironic
175180,2,57738.28,0.02,N,special reque
34980,3,88089.08,0.04,N,blithely ironic packages sleep f
94728,4,34454.40,0.07,N,fluffily specia
82758,5,47000.25,0.03,N,quickly fi
102561,6,46906.80,0.05,N,final
139247,7,52735.84,0.09,N,final
115209,1,58761.60,0.01,A,dependencies serve
104180,2,37893.76,0.08,A,express attainment
137267,3,22172.42,0.09,A,carefully regular requests sleep a
37502,4,4318.50,0.09,R,regular dependencies are car
92070,5,44606.94,0.07,R,ideas are carefully pending asymptotes. 
18504,6,32717.50,0.05,A,sly theodolites along th
64128,1,8736.96,0.03,R,even pinto beans are alongside o
196156,2,16277.95,0.06,A,excuses haggl
179809,3,1888.80,0.03,R,even packages haggle carefull
45734,4,18477.03,0.01,A,regular
37131,5,39520.81,0.09,R,fluffily even deposits nag fluffil
55655,6,30602.35,0.06,A,slyly special ideas after the r
61931,1,47323.25,0.09,N,unusual platelets are
65916,2,5645.73,0.09,N,slyly regu
34432,3,61489.35,0.00,N,accounts lose about the iro
96645,4,54174.12,0.00,N,pending accounts sleep furiously pinto 
103255,5,49071.75,0.08,N,bravely regular packag
195635,6,58841.42,0.04,N,quickly express ideas detect blithely acros
123076,1,25278.61,0.10,A,furiously express f
135390,2,42761.70,0.01,R,regular ide
119477,1,19454.11,0.00,R,slyly final packages affix f
49568,2,56149.72,0.02,A,blithely bold deposits are at th
77699,3,31857.11,0.06,R,permanent hockey players
40216,1,32373.88,0.06,A,final
109743,2,1752.74,0.00,A,carefully pen
44706,3,23109.80,0.05,A,regular deposits wake
167180,4,12471.80,0.03,A,regular braids s
87114,1,11011.10,0.02,A,unusual
123766,2,8948.80,0.02,R,blithely unusual t
134082,3,46875.36,0.02,A,blithely regular deposits
108338,4,48467.88,0.09,A,quickly regular packages cajole furious
62029,1,27748.56,0.04,N,stealthily ironic packages according to th
115979,2,43889.34,0.00,N,regular depo
46150,3,50422.90,0.03,N,furiously regular accounts hagg
38024,4,13468.28,0.06,N,carefully even pinto beans after the dog
53439,5,51519.91,0.05,N,slyly special packages nag against t
118282,1,63713.72,0.10,N,carefully even 
163334,2,50303.88,0.00,N,final deposit
138418,3,17476.92,0.06,N,final packages gr
88914,1,70407.67,0.06,N,fluffily regular ideas ar
169238,2,44445.82,0.03,N,quickly express packa
182321,3,35083.00,0.01,N,instructions sleep. carefully even de
61158,4,16787.25,0.07,N,carefully qu
194658,1,10515.90,0.03,N,carefully bold packages are slyly even
10426,2,49447.54,0.02,N,furiously even ideas cajole 
28431,3,31266.89,0.01,N,dolphins b
29022,4,30432.64,0.01,N,platelets sleep quick
106828,1,69723.16,0.06,A,carefully bold ac
2867,1,81413.56,0.08,R,even accounts after the
185164,2,44969.76,0.01,A,blithely regular dolphins int
39444,3,45653.52,0.04,A,deposits serve slyly quickly ironi
135137,4,39852.42,0.00,R,carefully regular foxes are furiou
31373,5,31304.88,0.06,A,furiously unusual theodolites acr
77050,6,22595.10,0.06,R,final realms affi
168569,7,1637.56,0.05,R,busily express i
128816,1,25827.34,0.08,A,carefully bold theodolites 
1739,2,78755.04,0.03,R,express
11860,3,31893.48,0.04,A,blithely unusua
115635,4,21458.19,0.09,R,carefully busy asymp
69130,5,34073.03,0.06,R,fluffily even pla
167505,1,70762.50,0.10,R,express asymptotes eat
44255,2,59962.50,0.02,A,ironic asymptotes eat ruthlessl
189021,3,4440.08,0.04,A,slyly final excuses haggle furiou
140449,1,26809.92,0.00,R,bold
119053,2,46098.15,0.01,R,ironic
114419,3,45869.12,0.04,A,furiously ironic requests
28082,4,23231.84,0.10,A,blithely pending pac
103432,1,38756.61,0.00,N,furiously final ideas s
176279,2,16263.24,0.02,N,finally brave dependencies could have to d
117350,3,39653.15,0.09,N,ironic
89855,4,20293.35,0.06,N,carefully regular 
641,1,32374.44,0.00,A,quickly final packages
164645,2,59837.40,0.06,A,slowly bold ideas haggle cl
188252,3,34846.50,0.09,A,pending accounts could have
144002,4,49162.00,0.05,A,final
35172,5,13286.04,0.05,A,silent Tiresias cajole. furiously bo
133103,6,13633.20,0.00,A,even
108205,1,57020.40,0.06,N,final deposits wa
198344,2,30289.14,0.00,N,furiously express escapades against t
157510,3,51727.83,0.02,N,furiously fina
67005,4,33048.00,0.02,N,bold
136248,5,25684.80,0.01,N,bold dugouts above the ironic dependenc
115000,6,13195.00,0.04,N,quickly regular pack
14785,1,61192.08,0.07,N,foxes are blithely carefully even accounts.
86382,2,30104.36,0.00,N,slyly fina
20080,3,34002.72,0.01,N,slyly unusual de
102810,1,34443.39,0.01,A,carefully quiet warthogs cajole 
189288,1,2754.56,0.02,N,carefully ironic requests wake fluffily
167545,1,69339.22,0.01,N,final accounts cajole. carefully sil
120702,2,22395.10,0.01,N,furiously express ideas affix. requests 
36818,3,47379.87,0.04,N,carefully special requests are after the
192642,4,8673.20,0.02,N,carefully 
126090,5,13393.08,0.10,N,quickly final the
190825,6,38316.40,0.00,N,furiously bold requests a
91309,1,33807.80,0.09,A,ironic foxes bey
18488,2,33755.52,0.05,R,ironic platelets detec
125509,3,58311.00,0.03,R,furiously ironic pinto 
17526,4,46192.64,0.05,R,unusual reque
147505,5,66757.50,0.06,R,express
108896,6,51432.03,0.10,R,furiously ironic packages detect above
3037,7,21620.69,0.09,A,even accounts cajole quickly
33175,1,3324.51,0.01,R,express packages are blithely. furiously e
161627,2,72610.66,0.08,R,carefully regular warhors
58520,3,22177.80,0.00,R,depths solve slyly across th
139190,4,60230.31,0.07,A,express in
155084,5,30755.16,0.01,R,asymptotes sublate alongside
64888,1,68556.56,0.09,N,furiously silent ideas sleep blith
166366,2,18620.68,0.09,N,regular
99652,3,67717.65,0.07,N,final dolphins h
45027,4,7776.16,0.05,N,deposits aro
101171,1,32820.76,0.06,R,blithely even
171555,2,43916.85,0.09,R,asymptotes cajole careful
97017,1,23322.23,0.00,N,regular braids are carefull
161368,2,28587.20,0.07,N,idly ironic ideas about t
110252,3,18933.75,0.09,N,silent
196400,4,2992.80,0.06,N,carefully final packages print b
82915,5,47447.75,0.02,N,accounts abou
141003,6,46980.00,0.00,N,fluffily regular requests detect car
92638,1,14675.67,0.06,A,daring
153954,2,30119.25,0.02,R,pinto beans doubt f
93878,3,43053.01,0.06,A,blithely pending dependencies ca
2594,1,25442.03,0.05,R,carefully unusual attainment
183523,2,1606.52,0.04,R,furiously i
65994,3,25479.87,0.08,A,regular
145146,4,42881.04,0.00,R,theodolites against the fluffily
56176,5,9057.36,0.04,R,busy
